id,"Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)",Q2: How many ingredients would you expect this food item to contain?,Q2 Cleaned,Q3: In what setting would you expect this food to be served? Please check all that apply,Q4: How much would you expect to pay for one serving of this food item?,Q4 Cleaned,Q5: What movie do you think of when thinking of this food item?,Q5 Cleaned,Q6: What drink would you pair with this food item?,Q6 Cleaned,"Q7: When you think about this food item, who does it remind you of?",Q8: How much hot sauce would you add to this food item?,Label
616634,4,9,9,"Week day lunch,Week day dinner,Weekend dinner,At a party,Late night snack",$4,4,The Lego Movie,the lego movie,Pepsi,pepsi,"Friends,Teachers,Strangers",A little (mild),Pizza
616836,3,5,5,"Weekend dinner,At a party",$3,3,Ratatouille,ratatouille,Diet Coke,diet coke,Friends,A moderate amount (medium),Pizza
609116,2,5,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$4,4,The Big Lebowski,the big lebowski,Soda,soda,"Siblings,Friends",None,Pizza
626789,2,5,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",6,6,None,N/A,diet coke,diet coke,Friends,None,Pizza
504599,3,5-10,5,"Week day lunch,At a party,Late night snack","I think the price of a full pizza should be 20 CAD. 

The price for a full adult male to eat should be 10 CAD",20-10,Fight Club,fight club,Diet Pepsi,diet pepsi,"Parents,Siblings,Friends",A moderate amount (medium),Pizza
632684,2,4,5-10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",2,2,Teenage Mutant Ninja Turtles,teenage mutant ninja turtles,Coca Cola,coca cola,"Parents,Siblings,Friends",None,Pizza
522967,2,3,4,"Weekend lunch,At a party",12,12,spiderman,spiderman,cocacola,coca cola,"Parents,Teachers",A little (mild),Pizza
632893,3,10,3,"Weekend lunch,At a party",$15,15,Transformers,transformers,Pepsi,pepsi,Friends,A little (mild),Pizza
632156,3,"I would expect this food item to contain at least eight ingredients, taking a base recipe for cheese pizza as an example: water, sugar, yeast, oil, salt, flour, tomatoes, cheese.",10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","Taking one slice as one serving, I would expect to pay $5.",5,I don't have a movie I think of when I think of pizza.,i dont have a movie i think of when i think of pizza,I would pair coke with pizza.,coke,"Parents,Siblings",None,Pizza
603582,3,15,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5 CAD,5,Cloudy with a Chance of Meatballs,cloudy with a chance of meatballs,Coke with ice,coke,"Parents,Siblings,Friends",None,Pizza
626754,2,"At the bare minimum, pizza dough, cheese, tomato sauce. (3 Ingredients)",15,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$15,15,Home Alone,home alone,Coca Cola,coca cola,"Parents,Friends",None,Pizza
298481,4,7-15,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$8-$24,8-24,Interstellar,interstellar,Coke Zero,coke zero,"Parents,Siblings,Friends",None,Pizza
631583,2,6,7-15,"Week day dinner,Weekend dinner,At a party",18,18.00,Futurama: Bender's Big Score,futurama benders big score,Coke,coke,"Parents,Siblings,Friends",None,Pizza
718026,3,5,6,"Weekend lunch,Weekend dinner,At a party,Late night snack",15,15,teenage mutant ninja turtles,teenage mutant ninja turtles,pepsi,pepsi,Friends,None,Pizza
616713,3,7,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15 CAD,15,The Italian Job,the italian job,Water,water,Friends,None,Pizza
602533,5,5,7,"Weekend dinner,At a party",15,15,Godfather,godfather,Coke,coke,"Parents,Friends",A little (mild),Pizza
522345,2,"This food should contain at least 3 ingredients, but could include as many as the user wants. However, any number over 6 ingredients weighs the slices down too much and the pizza is less fun to eat.",5,"Week day dinner,Weekend lunch,Weekend dinner,At a party","For one whole 10-inch pizza I would expect to pay $10, but for a single slice from a 16-inch pizza I would pay $6",10-6,Teenage Mutant Ninja Turtles,teenage mutant ninja turtles,Soda,soda,Friends,None,Pizza
629758,3,5,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",around 13 dollars,13,Back to the Future Part 2,back to the future,diet coke,diet coke,"Friends,Strangers",None,Pizza
631496,2,"At a bare minimum, 3 - dough, cheese, and salsa.

At a maximum, around 4-5 toppings on top of this.",5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5,5,Spiderman,spiderman,Coke,coke,Friends,None,Pizza
491374,2,3-20,3-5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10-30 Canadian dollars,10-30,Spider Man,spiderman,Coca-Cola,coca cola,Friends,None,Pizza
632051,2,6,3-20,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",2.5,2.5,Home Alone,home alone,Coke,coke,"Parents,Siblings,Friends,Strangers",None,Pizza
409930,3,5,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$10 to $20,10-20,"any kind really, probably something more relaxed for leisure",any kind really probably something more relaxed for leisure,water,water,"Parents,Siblings,Friends",None,Pizza
632975,2,5,5,"Week day lunch,Weekend lunch,At a party",4,4,Monster House,monster house,Coke,coke,"Siblings,Friends",A little (mild),Pizza
407221,3,5,5,"Week day lunch,At a party",$25,25,Spiderman,spiderman,Pepsi,pepsi,Friends,A lot (hot),Pizza
204508,3,8,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5,5,Cloudy with a Chance of Meatballs,cloudy with a chance of meatballs,sprite,sprite,Friends,None,Pizza
618700,3,5,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,10,the godfather,the godfather,soda,soda,Friends,A little (mild),Pizza
627792,3,At least three ingredients.,5,"Weekend lunch,Weekend dinner,At a party",5 CAD.,5,Spider-man 2.,spiderman,Pepsi.,pepsi,"Siblings,Friends",None,Pizza
712054,3,3,3,"Week day dinner,At a party",$16,16,Harry Potter,harry potter,Coke,coke,Friends,None,Pizza
631881,2,Around 5–10,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$2 – $5,2-5,Home alone because Kevin orders an entire one for himself.,home alone because kevin orders an entire one for himself,"Soda (i.e. Coke, Pepsi, etc.)",soda coke pepsi,Friends,None,Pizza
716188,3,"Tomato sauce, cheese, ham, pepperoni, pineapple, dough",5-10,"At a party,Late night snack",$25 for 12 inch.,25,Italian movie,italian movie,Coke,coke,"Friends,Teachers",None,Pizza
628744,3,6+,6,"Week day lunch,Weekend lunch,At a party,Late night snack",$10-20,10-20,TNMT,tnmt,Coca Cola,coca cola,"Friends,Teachers",A little (mild),Pizza
604132,4,5,6,"Week day lunch,Weekend lunch,At a party",8,8,Ratatouille,ratatouille,Soda,soda,"Siblings,Friends",A moderate amount (medium),Pizza
629807,2,3,5,"Week day lunch,Week day dinner,Weekend lunch",5 dollars,5,Ratatouille,ratatouille,Water,water,Friends,A little (mild),Pizza
741428,3,5,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$8,8,None,N/A,Pepsi,pepsi,Friends,None,Pizza
633024,2,6,5,"Week day lunch,At a party,Late night snack",5,5,N.A. (I only watched a few movies so I cannot think of any movie related to Pizza),na i only watched a few movies so i cannot think of any movie related to pizza,water,water,Strangers,None,Pizza
631221,3,I would expect between 3 and 6 ingredients.,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",I would expect to pay $4 for one slice of pizza.,4,Cloudy With a Chance of Meatballs,cloudy with a chance of meatballs,A soda,soda,Friends,None,Pizza
601983,3,5,3-6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,5,Home Alone,home alone,Coke,coke,"Parents,Siblings",A little (mild),Pizza
603007,2,"Flower, Yeast, Water, Olive Oil, Tomato, herbs, cheese, pepperoni.
8 Ingredients",5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3 dollars,3,Teenage Mutant Ninja Turtles ,teenage mutant ninja turtles,Iced Tea,iced tea,Friends,A moderate amount (medium),Pizza
601217,3,5,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3 CAD,3,The Godfather,the godfather,Diet coke,diet coke,"Siblings,Friends",A moderate amount (medium),Pizza
629221,2,7,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$15,15,Teenage Mutant Ninja Turtles,teenage mutant ninja turtles,Coke,coke,Friends,None,Pizza
634705,2,8,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$4,4,The Mario Movie,the mario movie,Orange Crush Soda,orange crush soda,"Parents,Siblings",A little (mild),Pizza
630070,3,14,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$10,10,Spider-man 2,spiderman,coke,coke,"Parents,Friends,Teachers,Strangers",A little (mild),Pizza
630006,3,6-20 ingredients,14,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$20,20,Home Alone,home alone,Coke,coke,"Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza
629072,3,6,6-20,"Weekend dinner,At a party,Late night snack",$4,4,Cloudy with a chance of meatballs,cloudy with a chance of meatballs,Soda,soda,"Parents,Friends",None,Pizza
630044,2,I think this food item 7 ingredients.,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",I expect to pay 4 dollar with tax.,4,Cloudy with a chance of meatballs,cloudy with a chance of meatballs,Diet pepsi.,diet pepsi,"Siblings,Friends",None,Pizza
626026,2,6,7,"Weekend lunch,Weekend dinner,At a party",4$,4,ratatouille.,ratatouille,sprite or juice.,sprite or juice,"Friends,Strangers",None,Pizza
520303,3,"Cheese, Pineapple, bacon, sausage, onions, tomatoes, paparoni",6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20,20,The Godfather,the godfather,Coke,coke,"Siblings,Friends",None,Pizza
630972,3,Probably like 10,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4 bucks,4,Cloudy with a chance of meatballs,cloudy with a chance of meatballs,Soda,soda,"Siblings,Friends,Teachers",A little (mild),Pizza
630948,3,3-4,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",15,15,Teenage Mutant Ninja Turtles,teenage mutant ninja turtles,soda,soda,"Parents,Siblings,Friends",None,Pizza
626778,2,4 ingredients,3-4,"Week day lunch,Week day dinner,Weekend dinner,At a party","(As in one slice) $3

(As in one small pizza) $10",3-10,Home Alone,home alone,Coke Zero,coke zero,"Parents,Siblings,Friends,Teachers,Strangers",A moderate amount (medium),Pizza
631181,4,4,4,"Week day lunch,At a party,Late night snack",4.4,4.4,The Hangover,the hangover,coke,coke,Parents,A little (mild),Pizza
633541,2,8-4,4,"Weekend dinner,At a party,Late night snack",15,15,The Dark Knight,the dark knight,Nestea,nestea,Friends,A little (mild),Pizza
630098,3,"3 ingredients,  

* Pizza dough

* Tomato sauce

* Mozzarella cheese",8-4,"Week day lunch,At a party",5 dollar.,5,Teenage Mutant Ninja Turtles,teenage mutant ninja turtles,Coke.,coke,Friends,A little (mild),Pizza
629959,3,3-6,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5 dollars,5,Ratatouille ,ratatouille,Water,water,"Parents,Siblings,Friends",None,Pizza
633097,3,8,3-6,"Week day lunch,Weekend dinner,At a party",$5,5,American Pie,american pie,Cola,cola,"Friends,Teachers",None,Pizza
605290,3,#NAME?,8,"Week day lunch,Week day dinner,Weekend dinner,At a party",$5/serving,5,Mean Girls,mean girls,Sprindrift,sprindrift,Friends,None,Pizza
629869,3,5,,At a party,$2,2,Friday,friday,Diet coke,diet coke,Friends,A little (mild),Pizza
632868,2,For a classic cheese style it would be 3-4 ingredients. For typical styles around 7-8.,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","One medium serving, it would be expected to pay around $20.",20,Home Alone is the first movie that comes to minds. Im referring to the scene were the whole family order 10+ boxes of pizza and their trying to see who is going to pay.,home alone is the first movie that comes to minds im referring to the scene were the whole family order  boxes of pizza and their trying to see who is going to pay,"Probably a fizzy drink, ideally coca-cola. ",coca cola,"Parents,Siblings,Friends",A little (mild),Pizza
209691,2,I would expect this food item to contain 5 ingredients.,3-4,"Week day lunch,Weekend lunch,At a party",I would expect to pay $10 for one serving of this food item.,10,I think of spiderman when thinking of this food item.,i think of spiderman when thinking of this food item,I would pair with this food item with iced tea.,iced tea,"Friends,Teachers",None,Pizza
600915,4,5,5,"At a party,Late night snack",20,20,Toy Story,toy story,Water,water,Friends,None,Pizza
525420,4,5,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$15,15,Ninja Turtles,ninja turtles,Coke,coke,"Siblings,Friends,Strangers",A moderate amount (medium),Pizza
414710,3,7 ,7,"Week day lunch,Weekend lunch,At a party,Late night snack",$2.50 CAD,2.50,Garfield,garfield,Pepsi,pepsi,"Parents,Friends",A moderate amount (medium),Pizza
629985,3,10 ,10,"Week day lunch,Weekend lunch,At a party",$3,3,Pirates of the Caribbean ,pirates of the caribbean,pepsi,pepsi,Strangers,A lot (hot),Pizza
523128,3,6,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",9,9,This is the end,this is the end,Sprite,sprite,"Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza
727410,2,6,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$25,25.00,Karate Kid,karate kid,Water,water,Friends,A little (mild),Pizza
616457,3,4-8,4-8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$10,10,Goodfellas,goodfellas,coke,coke,"Friends,Teachers",A little (mild),Pizza
206487,3,"Four ingredients: Dough, sauce (usually [tomato sauce] (https://en.wikipedia.org/wiki/Tomato_sauce)), cheese (typically [mozzarella] (https://en.wikipedia.org/wiki/Mozzarella)) ",4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12 dollars for a 4people pizza,12,Ratatouille,ratatouille,Any soft drink,soft drink,"Siblings,Friends,Teachers",A little (mild),Pizza
68949,2,"If we include making the dough, 10 ingredients are needed. If not, 5 (depending on the number of toppings).",5,"Weekend dinner,At a party","For a box, approximate $12-$17, depending on the size ordered.",12-17,Teenage Mutant Ninja Turtles,teenage mutant ninja turtles,A soda,soda,"Siblings,Friends",A little (mild),Pizza
419835,3,5,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5,5,Cloudy with a Chance of Meatballs,cloudy with a chance of meatballs,Coke,coke,"Siblings,Friends,Strangers",None,Pizza
745732,2,">=3 More than three. dough, sauce, cheese, some meat or vegetable, or pineapple.",3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12 to 20 dollars.,12-20,Ready Player One. There is pac-man inside and pizza looks like one.,ready player one there is pac man inside and pizza looks like one,coca cola. ,coca cola,Strangers,None,Pizza
543739,2,4,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4,4,Teenage Mutant Ninja Turtles ,teenage mutant ninja turtles,Coke,coke,"Siblings,Friends",None,Pizza
410380,2,3,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",8,8,Spider Man,spiderman,Soda,soda,"Parents,Friends,Teachers",None,Pizza
385307,4,the basic would be about 8 ,8,"Weekend dinner,At a party",3  ,3,ninja turtle ,ninja turtle,coke ,coke,Friends,None,Pizza
634566,4,8,8,Weekend dinner,15,15,The Gentlemen ,the gentlemen,Martini Cocktail ,martini cocktail,Friends,None,Pizza
625818,1,I would expect 5 ingredients if we make our dough from scratch.,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",I would expect to pay 3.95$ for a slice.,3.95,Teenage mutant ninja turtle,teenage mutant ninja turtle,Coca-cola,coca cola,Friends,A little (mild),Pizza
631164,3,"Flour, water, eggs (idt there is yeast), salt, tomatoes, cheese, + n many additional ingedients.

Atleast 6.

 ",6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5-$10,5-10,"Rattatouie, even though there isnt pizza.",rattatouie even though there isnt pizza,Water,water,Strangers,A little (mild),Pizza
603130,3,4,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$4,4,The Godfather,the godfather,Pepsi,pepsi,"Friends,Teachers",None,Pizza
229211,3,I would expect this food item to contain about 3 to 7 ingredients,3-7,"Week day lunch,Week day dinner,At a party,Late night snack",$5,5,Pulp Fiction,pulp fiction,Gingerale (Canada Dry),gingerale canada dry,"Parents,Friends",A little (mild),Pizza
626849,3,4,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5.00,5,Teenage Mutant Ninja Turtles,teenage mutant ninja turtles,Pop/Soda,pop soda,"Siblings,Friends",None,Pizza
634650,2,10,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$5 for a slice of pizza ,5,Spiderman,spiderman,Coke,coke,"Siblings,Friends",A moderate amount (medium),Pizza
632125,3,5,5,"Week day dinner,Weekend dinner,At a party,Late night snack",$3,3,cloudy with a chance of meatballs,cloudy with a chance of meatballs,Sprite,sprite,"Friends,Teachers",None,Pizza
626812,2,5-10,5-10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",20,20,no movie,no movie,ice tea,ice tea,Friends,None,Pizza
631109,3,5,5,"Week day lunch,Week day dinner,Weekend lunch,Late night snack",$3 or $3.50,3-3.50,I think of the show Gilmore Girls. They're always eating pizza. ,i think of the show gilmore girls theyre always eating pizza,"Soda, personally Sprite. ",sprite,"Siblings,Friends",None,Pizza
716766,2,"5-10, including the dough, sauce, cheese and toppings",5-10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5 for each piece,5,spiderman,spiderman,coca-cola,coca cola,Friends,None,Pizza
494103,3,8,8,"Week day dinner,Weekend dinner,At a party,Late night snack",5 dollars,5,Ninja turtles,ninja turtles,Coca cola,coca cola,Friends,A moderate amount (medium),Pizza
628102,2,"three; cheese, tomato sauce, dough",3,"Week day dinner,Weekend lunch,At a party",$4,4,Happy Gilmore,happy gilmore,Water,water,"Parents,Siblings,Friends",A little (mild),Pizza
634683,3,5,5,"Week day lunch,At a party,Late night snack",3 dollars,3,Ratatoullie,ratatoullie,Coke,coke,"Siblings,Friends",None,Pizza
517774,2,5,5,"Weekend lunch,At a party",6,6,Inception,inception,sprite,sprite,Friends,A little (mild),Pizza
408898,3,At least 3,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",2 dollars,2,Spiderman 2,spiderman,Water,water,"Parents,Siblings,Friends",A little (mild),Pizza
603189,3,6,6,"At a party,Late night snack",4,4,back in action,back in action,Diet Coke,diet coke,"Siblings,Friends,Teachers",A moderate amount (medium),Pizza
606857,2,4,4,"Week day lunch,Weekend lunch,At a party",3.50 CAD,3.50,Teenage Mutant Ninja Turtles,teenage mutant ninja turtles,Coke,coke,Friends,A moderate amount (medium),Pizza
523080,2,4,4,"Weekend lunch,Weekend dinner,At a party",3 dollars,3,masterchef,masterchef,soda,soda,Friends,None,Pizza
631014,3,5,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$5,5,Spiderman 2,spiderman,Fanta,fanta,Parents,None,Pizza
503957,2,4,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$11,11,Home alone,home alone,Coke,coke,Friends,I will have some of this food item with my hot sauce,Pizza
524890,3,9,9,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$5,5,Spider-Man 2,spiderman,Sprite,sprite,"Siblings,Friends",None,Pizza
717411,3,7,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$3,3,Italian movie,italian movie,soft drink,soft drink,Strangers,A little (mild),Pizza
525311,3,10,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$10,10,Die Hard,die hard,Soda,soda,"Parents,Siblings",A little (mild),Pizza
630967,3,5,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,5,The Social Network,the social network,Red Wine or Coca Cola,red wine or coca cola,"Friends,Strangers",A little (mild),Pizza
604969,2,8,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5,5,Neverending Story,neverending story,Soda,soda,"Parents,Siblings,Friends",A moderate amount (medium),Pizza
524480,3,10 ingredients,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$8,8,Maze Runner,maze runner,Mountain Dew,mountain dew,Friends,None,Pizza
630121,3,around 15 ingredients,15,"Week day lunch,Weekend dinner,At a party",around $5,5,Home Alone,home alone,soft drinks,soft drinks,"Siblings,Friends,Teachers",A lot (hot),Pizza
629615,2,mandatory ingredients: 6,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5 dollars,5,Diary of a Wimpy Kid: Rodrick Rules,diary of a wimpy kid rodrick rules,Sprite,sprite,"Parents,Siblings,Friends",A lot (hot),Pizza
634977,5,4,4,"Week day lunch,Weekend lunch,Weekend dinner,At a party,Late night snack",20,20,Spider Man 2,spiderman,Coca Cola,coca cola,"Parents,Siblings,Friends",None,Pizza
630823,3,6,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",8$,8.00,Transformer,transformer,coke,coke,"Siblings,Friends",None,Pizza
632228,2,5 to 6,5-6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",2 to 3 dollars,2-3,Teenage Mutant Ninja Turtles ,teenage mutant ninja turtles,Coke,coke,"Siblings,Friends",A lot (hot),Pizza
504548,2,4,4,"Week day lunch,Weekend lunch,At a party,Late night snack",$5,5,Spider-Man 2,spiderman,Coca-Cola,coca cola,"Friends,Teachers",None,Pizza
522477,4,"Around 9 to 10 ingredients, such as wheat flour, oil, water, sugar, salt, yeast, tomato sauce, cheese, and some meats.",9-10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",Around $5.,5,"When thinking of pizza, it would reminder me of Italy, and the first movie that came to mind was Malena.",when thinking of pizza it would reminder me of italy and the first movie that came to mind was malena,Coke.,coke,"Siblings,Friends,Teachers,Strangers",None,Pizza
523461,3,7,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$3,3,Spiderman,spiderman,Soda,soda,"Parents,Siblings,Friends",None,Pizza
312640,4,"At least 3 with the dough cheese and sauce, afterwards is user preference for anywhere between 3-8 toppings being standard",3-8,"Week day lunch,Week day dinner,Weekend dinner,At a party",about 2 dollars for a slice but for a full pizza depending on the size between 12-24 dollars,2-24,Anchorman,anchorman,Coke a cola,coke a cola,Friends,None,Pizza
854745,3,4,4,"Week day lunch,Weekend lunch,At a party,Late night snack",$5,5,Friends,friends,Soda,soda,Friends,A moderate amount (medium),Pizza
711854,2,"flour, pepperoni, bacon, cheese, chicken, some sauce
6 ingredients",6,"Week day lunch,Weekend dinner,At a party,Late night snack","For a whole pizza with 16 inches, $30",30,Zootopia,zootopia,Coke,coke,Friends,A moderate amount (medium),Pizza
739254,4,around 5 to 10 ingredients.,5-10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",4 dollars,4,Home Alone,home alone,Sprite,sprite,Friends,None,Pizza
621555,3,"Well I guess if we're counting the ingredients for the dough, probably at least 6 - 7 for a cheese pizza, more for anything more complex.

 

If not counting ingredients for dough, then a cheese pizza has 3: dough, sauce, and cheese",3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party"," 5$ for a slice of generic cheaper pizza, 15-20 for a whole pizza chain pizza size medium and 15-30 for a whole smaller more gourmet pizza.",5-30,I don't watch movies.,i dont watch movies,Ice tea???? Or fountain drinks in general. I like Dr. Pepper,ice tea,Friends,A lot (hot),Pizza
602482,3,"Around 4-5: Dough, sauce, cheese, toppings.

(However, it depends on how you classify ingredients; for instance, you could divide sauce into tomatoes, salt, olive oil, etc).",4-5,"Weekend lunch,Weekend dinner,At a party",4-6 dollars,4-6,"To be honest I can't really think of any movie

But if I have to answer I would say Minions: Rise of Gru",to be honest i cant really think of any movie but if i have to answer i would say minions rise of gru,Soda,soda,"Friends,Teachers",None,Pizza
630416,3,About 6,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","$6 + tax for 2 slices, so 6",6,"Ratatouille, because the rat is Italian and Italians like pizza",ratatouille because the rat is italian and italians like pizza,"Water, because water is good for you",water,"Parents,Siblings,Friends,Teachers,Strangers",I will have some of this food item with my hot sauce,Pizza
505458,3,3,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",15,15,None,N/A,Soft drink,soft drink,Friends,None,Pizza
296589,3,"About 4 such as milk, flour to make the dough, tomato sauce, and cheese to make a foundational cheese pizza",4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",Around $2-3 give or take,2-3,Terminator,terminator,"Pop, soda, alcohol, or water",pop soda alcohol or water,Friends,A little (mild),Pizza
604826,3,"I expected to have 6 ingredients.

 

flour

tomato sauce

cheese

oil

yeast

Basil

 ",6,"Week day lunch,Weekend lunch,At a party,Late night snack","I will expect to pay 6 dollars for one serving of this food item.

 ",6,I think about about the movie Home Alone.,i think about about the movie home alone,I will pair this food item with sparkling water.,sparkling water,Friends,None,Pizza
387820,4,5 - 6 ingredients. ,5-6,Weekend lunch,None,,Men in Black,men in black,Diet coke,diet coke,Teachers,A little (mild),Pizza
603612,4,7,7,"Week day dinner,Weekend lunch,Weekend dinner,At a party",15,15,Teenage Mutant Ninja Turtles,teenage mutant ninja turtles,Water,water,"Parents,Strangers",None,Pizza
712252,4,13,13,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$4,4,Cloudy with a Chance of Meatballs,cloudy with a chance of meatballs,Coke,coke,"Siblings,Friends",None,Pizza
742226,4,"The number of ingredients vary depending on what ""version"" of the food item you're making, but generally it has at least 3",3,"Week day lunch,Weekend lunch,At a party",$5-$10,5-10,Teenage Mutant Ninja Turtles,teenage mutant ninja turtles,Soda,soda,"Siblings,Friends",None,Pizza
712771,3,More than 4,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",20,20,Green Book,green book,Orange juice,orange juice,Parents,None,Pizza
746466,3,4,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",24,24,The DaVinci Code,the davinci code,Ginger Ale,ginger ale,"Siblings,Friends",A little (mild),Pizza
601737,4,"flour, oil, cheese, tomato sauce, pepperoni, so 5 ingredients.",5,"Weekend lunch,At a party,Late night snack",5 dollars,5,action movie like mission impossible,action movie like mission impossible,coke,coke,Friends,A little (mild),Pizza
631902,2,3,3,"Week day lunch,Week day dinner,Weekend dinner,At a party",$4,4,Spider-man,spiderman,Soda,soda,"Parents,Friends,Teachers",A little (mild),Pizza
312320,5,"dough

pizza red sauce

onions

garlic

pepperoni

bacon

hot peppers

green peppers

mushrooms

ham

pineapple

double mozzarella cheese",12,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",if one serving means 1 slice = price approx for slice = $4,4,I think of the Ninja Turtle movies when thinking of pizza,i think of the ninja turtle movies when thinking of pizza,i like Coke Cola the best with this pizza,coca cola,"Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza
